Student Name,Student _mail id,Course,Cohort,Placed/Not Placed,CGPA,AI Tutor Usage,AI Mentor Usage,JPT Usage,Yoodli Usage
Student_1_Jul-24,student1@jul-23.spjain.edu,GMBA,Jul-23,Placed,2.63,High,High,High,Low
Student_2_Jul-23,student2@jan-24.spjain.edu,MGB,Jan-24,Not Placed,3.08,Low,Low,High,None
Student_3_Jan-24,student3@jul-23.spjain.edu,GMBA,Jul-22,Not Placed,3.12,Medium,None,None,High
Student_4_Jul-24,student4@jan-23.spjain.edu,GCGM,Jan-24,Not Placed,3.94,None,Low,Medium,High
Student_5_Jan-24,student5@jan-22.spjain.edu,GMBA,Jan-24,Placed,2.87,None,Medium,None,Medium
Student_6_Jan-24,student6@jan-22.spjain.edu,MGB,Jul-23,Not Placed,3.36,Medium,High,Medium,Medium
Student_7_Jan-23,student7@jul-22.spjain.edu,GCGM,Jul-24,Not Placed,3.59,Medium,None,High,Low
Student_8_Jan-24,student8@jan-22.spjain.edu,GMBA,Jan-23,Placed,2.93,None,Low,None,Medium
Student_9_Jan-23,student9@jul-22.spjain.edu,GMBA,Jan-23,Not Placed,3.79,None,None,Low,Low
Student_10_Jul-24,student10@jul-23.spjain.edu,MGB,Jul-22,Not Placed,3.67,Low,High,Low,None
Student_11_Jan-23,student11@jan-22.spjain.edu,GCGM,Jan-24,Placed,3.76,High,High,Low,High
Student_12_Jul-24,student12@jul-24.spjain.edu,GCGM,Jul-22,Not Placed,2.58,Medium,None,None,Low
Student_13_Jul-23,student13@jul-23.spjain.edu,MGB,Jan-23,Not Placed,3.62,Low,High,High,High
Student_14_Jan-23,student14@jul-22.spjain.edu,GMBA,Jul-23,Placed,2.93,High,High,Medium,None
Student_15_Jan-22,student15@jan-24.spjain.edu,GMBA,Jan-23,Not Placed,3.42,Medium,Medium,Medium,Medium
Student_16_Jan-22,student16@jan-23.spjain.edu,GMBA,Jan-24,Not Placed,3.19,Low,Low,Medium,Low
Student_17_Jan-23,student17@jan-24.spjain.edu,GCGM,Jul-24,Placed,3.75,None,High,None,None
Student_18_Jul-24,student18@jul-23.spjain.edu,MGB,Jul-22,Not Placed,2.88,None,None,None,None
Student_19_Jan-24,student19@jul-24.spjain.edu,GCGM,Jan-24,Placed,3.56,None,None,Low,High
Student_20_Jul-24,student20@jul-24.spjain.edu,GMBA,Jul-22,Placed,3.54,Medium,Medium,High,None
Student_21_Jul-24,student21@jul-23.spjain.edu,MGB,Jul-23,Not Placed,2.89,None,Medium,None,High
Student_22_Jul-23,student22@jan-23.spjain.edu,GCGM,Jan-23,Not Placed,2.77,None,High,Low,High
