Student Roll No.,Student Name,Email id,Course,Cohort,Year,Term-1,Term-2,Term-3,No. of JPT Mock Interviews attempted and scored equal or above 80%,Area Head Mock Interview Score,No. of Allocated Interview Attempts,"Categorise student overall (Outstanding, Good, Average, Needs Handholding)",Placed/Not Placed,"If placed, no. of interview attempts required for placement"
SPJ20248656,Student_1_Jul-23,student1@jul-23.spjain.edu,MGB,Jul-23,2024,92.8,71.9,74.4,0,81.3,6,Outstanding,Not Placed,0
SPJ20249684,Student_2_Jan-22,student2@jan-22.spjain.edu,GCGM,Jan-22,2024,71.2,86.6,92.1,2,87.7,3,Average,Not Placed,0
SPJ20236081,Student_3_Jul-23,student3@jul-23.spjain.edu,GCGM,Jul-23,2023,84.1,75.9,73.7,1,94.8,5,Outstanding,Not Placed,0
SPJ20236817,Student_4_Jan-24,student4@jan-24.spjain.edu,GCGM,Jan-24,2023,88.2,83.8,71.0,0,83.1,4,Needs Handholding,Not Placed,0
SPJ20245142,Student_5_Jan-24,student5@jan-24.spjain.edu,GCGM,Jan-24,2024,93.8,91.4,83.1,0,76.2,3,Outstanding,Not Placed,0
SPJ20244176,Student_6_Jan-22,student6@jan-22.spjain.edu,GMBA,Jan-22,2024,92.9,88.5,76.5,1,85.9,6,Needs Handholding,Placed,5
SPJ20223799,Student_7_Jul-24,student7@jul-24.spjain.edu,MGB,Jul-24,2022,83.2,71.6,76.7,2,76.3,8,Needs Handholding,Not Placed,0
SPJ20249656,Student_8_Jan-24,student8@jan-24.spjain.edu,GMBA,Jan-24,2024,86.7,88.3,80.2,0,79.9,6,Good,Not Placed,0
SPJ20227122,Student_9_Jul-22,student9@jul-22.spjain.edu,MGB,Jul-22,2022,77.7,89.5,72.1,1,80.8,8,Needs Handholding,Placed,6
SPJ20227181,Student_10_Jan-22,student10@jan-22.spjain.edu,MGB,Jan-22,2022,80.1,75.7,86.9,1,80.9,8,Outstanding,Placed,8
SPJ20234955,Student_11_Jul-23,student11@jul-23.spjain.edu,MGB,Jul-23,2023,91.6,82.8,94.0,4,93.3,3,Good,Placed,2
SPJ20241615,Student_12_Jul-24,student12@jul-24.spjain.edu,GMBA,Jul-24,2024,83.0,90.8,76.9,1,87.2,8,Outstanding,Not Placed,0
SPJ20246162,Student_13_Jul-24,student13@jul-24.spjain.edu,MGB,Jul-24,2024,71.4,91.3,76.0,0,94.4,5,Good,Not Placed,0
SPJ20231791,Student_14_Jan-22,student14@jan-22.spjain.edu,GMBA,Jan-22,2023,88.2,90.2,90.1,0,89.2,6,Needs Handholding,Placed,5
SPJ20221569,Student_15_Jul-22,student15@jul-22.spjain.edu,GMBA,Jul-22,2022,84.8,85.8,74.9,0,83.1,5,Good,Placed,4
SPJ20224028,Student_16_Jan-22,student16@jan-22.spjain.edu,GMBA,Jan-22,2022,93.0,85.3,82.6,3,76.9,7,Needs Handholding,Placed,1
SPJ20227181,Student_17_Jan-22,student17@jan-22.spjain.edu,GCGM,Jan-22,2022,84.7,78.4,80.4,1,91.8,7,Outstanding,Placed,6
SPJ20247027,Student_18_Jul-23,student18@jul-23.spjain.edu,MGB,Jul-23,2024,87.6,76.6,77.1,0,94.2,6,Outstanding,Placed,4
SPJ20229681,Student_19_Jan-23,student19@jan-23.spjain.edu,GMBA,Jan-23,2022,92.1,71.9,85.1,1,77.2,5,Good,Placed,4
SPJ20228393,Student_20_Jan-23,student20@jan-23.spjain.edu,MGB,Jan-23,2022,84.7,88.9,80.2,2,78.2,4,Good,Placed,2
SPJ20231348,Student_21_Jan-23,student21@jan-23.spjain.edu,MGB,Jan-23,2023,80.5,72.3,93.3,1,85.4,6,Outstanding,Not Placed,0
SPJ20234161,Student_22_Jul-22,student22@jul-22.spjain.edu,MGB,Jul-22,2023,93.4,80.7,94.2,0,77.3,4,Needs Handholding,Placed,1
SPJ20224487,Student_23_Jan-24,student23@jan-24.spjain.edu,GCGM,Jan-24,2022,79.0,79.9,85.2,1,78.1,6,Outstanding,Not Placed,0
SPJ20228950,Student_24_Jul-22,student24@jul-22.spjain.edu,GCGM,Jul-22,2022,76.4,78.5,71.3,4,86.0,6,Outstanding,Not Placed,0
SPJ20241081,Student_25_Jan-24,student25@jan-24.spjain.edu,MGB,Jan-24,2024,92.6,85.5,94.6,2,90.0,3,Outstanding,Placed,2
SPJ20224829,Student_26_Jul-23,student26@jul-23.spjain.edu,GMBA,Jul-23,2022,78.6,75.9,91.6,5,92.9,4,Needs Handholding,Placed,2
SPJ20245681,Student_27_Jan-23,student27@jan-23.spjain.edu,GMBA,Jan-23,2024,88.1,71.3,86.7,0,87.1,3,Average,Placed,2
SPJ20225856,Student_28_Jul-22,student28@jul-22.spjain.edu,GMBA,Jul-22,2022,87.9,81.3,76.4,1,90.1,8,Needs Handholding,Not Placed,0
SPJ20247293,Student_29_Jul-24,student29@jul-24.spjain.edu,GMBA,Jul-24,2024,89.0,88.7,86.9,0,92.8,5,Good,Not Placed,0
SPJ20224030,Student_30_Jan-24,student30@jan-24.spjain.edu,GMBA,Jan-24,2022,73.7,84.1,77.4,2,86.4,4,Good,Placed,1
SPJ20222928,Student_31_Jan-23,student31@jan-23.spjain.edu,GCGM,Jan-23,2022,89.4,80.7,84.1,1,87.4,3,Needs Handholding,Placed,2
SPJ20226927,Student_32_Jul-23,student32@jul-23.spjain.edu,MGB,Jul-23,2022,86.0,74.3,75.4,5,79.6,7,Good,Not Placed,0
SPJ20248113,Student_33_Jul-22,student33@jul-22.spjain.edu,GMBA,Jul-22,2024,73.5,92.4,88.9,0,92.9,6,Outstanding,Placed,6
SPJ20247198,Student_34_Jan-22,student34@jan-22.spjain.edu,MGB,Jan-22,2024,90.1,89.6,80.2,1,83.7,5,Outstanding,Not Placed,0
SPJ20246518,Student_35_Jul-23,student35@jul-23.spjain.edu,MGB,Jul-23,2024,71.8,90.7,70.4,3,77.0,8,Good,Placed,6
SPJ20228838,Student_36_Jan-23,student36@jan-23.spjain.edu,GCGM,Jan-23,2022,89.4,80.0,73.7,2,92.0,5,Outstanding,Placed,2
SPJ20222330,Student_37_Jan-22,student37@jan-22.spjain.edu,GCGM,Jan-22,2022,86.7,82.8,85.0,0,95.0,3,Needs Handholding,Placed,1
SPJ20242198,Student_38_Jul-22,student38@jul-22.spjain.edu,GMBA,Jul-22,2024,78.4,94.2,91.4,0,82.5,3,Average,Placed,2
SPJ20227035,Student_39_Jan-23,student39@jan-23.spjain.edu,GMBA,Jan-23,2022,81.3,89.3,91.6,1,92.4,6,Needs Handholding,Placed,1
